order_id,region_id,city,courier_id,lng,lat,aoi_id,aoi_type,accept_time,accept_gps_time,accept_gps_lng,accept_gps_lat,delivery_time,delivery_gps_time,delivery_gps_lng,delivery_gps_lat,ds,delivery_delay,gps_mismatch,reported_vs_actual_distance,region_id_enc,city_enc,aoi_type_enc,courier_id_enc,fraud_prediction,fraud_prob
1,R3,CityB,C1,121.56768535353535,30.785587551618686,47,commercial,,14:09:35,121.24401837761796,30.28033086676546,,06:30:34,121.16687126942178,30.140474611738963,2025-09-14,,17.227879294590768,81.37215590774328,0.0,0.0,0.0,0.0,1,0.9998646
2,R4,CityC,C1,120.70968272051378,31.708443812681736,34,commercial,,01:25:47,121.08015864384438,31.0883662979536,,04:22:19,121.89574033723936,31.37791158034234,2025-09-14,,83.96239814099205,118.25299877997935,0.0,0.0,0.0,0.0,1,0.99998045
3,R1,CityA,C1,120.82426186052554,31.54617808339493,31,residential,,14:01:48,121.49922856877556,30.016016281347564,,18:23:22,120.97014397112636,30.349892027382054,2025-09-14,,62.96459247279524,133.74639870931364,0.0,0.0,0.0,0.0,1,0.99998045
4,R3,CityA,C2,121.09923208743784,30.619999874343577,25,residential,,14:30:24,121.4551260708644,30.19018729542146,,22:06:39,121.81221816129408,31.19277083680646,2025-09-14,,116.59374756758314,93.18465651685452,0.0,0.0,0.0,0.0,1,0.99998045
5,R3,CityA,C1,121.66106891280968,30.464079657802213,12,residential,,05:27:23,121.25974480036636,30.108423488411987,,09:20:49,121.67004717674338,31.671385174385385,2025-09-14,,178.14835545902503,134.24897166949287,0.0,0.0,0.0,0.0,1,0.99998045
6,R4,CityA,C2,120.13742566503652,30.916469300785668,1,commercial,,10:49:27,120.71957882676386,31.450956068030973,,13:10:45,120.29482556726796,31.51016132424336,2025-09-14,,40.81333985323701,67.69124418238164,0.0,0.0,0.0,0.0,1,0.99998045
7,R1,CityA,C1,120.84859377176976,31.56269768122881,22,residential,,11:18:53,120.81162418440054,30.162119127755208,,10:57:50,121.41633984367114,31.505885775367275,2025-09-14,,160.18614341506813,54.177328601915555,0.0,0.0,0.0,0.0,1,0.99998045
8,R1,CityA,C3,120.16523532691852,31.92033556945749,40,commercial,,23:20:03,121.9408770977682,31.43290596311758,,20:49:25,120.87093105014397,31.03569062437381,2025-09-14,,110.90200263461807,118.97330844483888,0.0,0.0,0.0,0.0,1,0.99998045
9,R3,CityA,C2,121.02931517314704,31.527158137733142,37,residential,,09:40:08,120.22477186458303,30.499249408821168,,13:30:21,120.50049265052589,31.781491183699444,2025-09-14,,144.97321696604754,57.490973416206614,0.0,0.0,0.0,0.0,1,0.99998045
10,R2,CityB,C3,121.79780164801248,31.71041397003674,47,commercial,,18:41:28,120.53700983450568,31.75542592139388,,09:08:46,121.3738767113334,31.176210396483995,2025-09-14,,102.21465902507718,71.73405753215415,0.0,0.0,0.0,0.0,1,0.99998045
